[2.0,113.87712860107422)
[36.0,39.39543151855469)
[42.0,42.94182205200195)
[36.0,36.49657440185547)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[36.0,36.055511474609375)
[42.0,42.04759216308594)
[42.0,42.04759216308594)
[42.0,42.04759216308594)
[42.0,42.04759216308594)
[42.0,42.04759216308594)
[42.0,42.04759216308594)
